                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7243,                 3.1754,                 1.8974,                0.00645,                0.88717,                 0.1845,                0.05157,                 1.7209,                  3.404,                 2.3086,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.8045,                 3.2086,                 1.9964,                 0.0064,                0.92196,                0.23801,                0.08138,                 1.5131,                 3.3598,                 2.0958,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.4901,                 3.0603,                 1.7374,                0.00584,                0.94797,                0.34835,                0.14502,                  1.188,                 3.2717,                 1.7767,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.3947,                 2.6979,                 1.6082,                0.00525,                0.86177,                 0.4672,                0.24862,                 1.0228,                 3.2002,                 1.5421,             0.00017792,             0.00017792,             0.00017792
                      5,                 1.2409,                 2.1722,                 1.4569,                 0.0053,                0.85299,                0.49556,                  0.286,                0.96637,                 2.9561,                 1.4551,             0.00022414,             0.00022414,             0.00022414
                      6,                 1.1971,                 1.6795,                 1.3968,                0.00538,                0.86177,                0.51403,                0.30179,                0.93178,                 2.8663,                 1.3791,             0.00026936,             0.00026936,             0.00026936
                      7,                 1.0816,                 1.5372,                 1.2454,                0.00563,                0.93073,                0.61463,                0.38811,                0.89951,                 2.8233,                 1.2982,              0.0003136,              0.0003136,              0.0003136
                      8,                 1.1475,                 1.5078,                 1.3822,                 0.0062,                0.84483,                0.58273,                0.38047,                0.88296,                 2.7749,                 1.2946,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.0297,                  1.369,                 1.2703,                      1,                 0.1547,                0.52749,                0.31525,                 1.1986,                 2.6801,                 1.6617,             0.00039909,             0.00039909,             0.00039909
                     10,                 1.0726,                 1.3195,                 1.2939,                      1,                0.34962,                0.51259,                0.32175,                 1.1395,                 2.5108,                 1.5569,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.0154,                 1.2911,                  1.286,                 0.9875,                0.34221,                 0.5133,                0.26853,                 1.1178,                 2.6519,                 1.5692,             0.00048063,             0.00048063,             0.00048063
                     12,                0.99281,                 1.1768,                 1.2813,                0.96559,                0.35616,                0.53346,                0.26565,                 1.2089,                 2.5865,                 1.7588,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.0007,                 1.0675,                 1.1876,                0.86497,                0.29825,                 0.7053,                0.49661,                 1.0979,                 2.3446,                 1.4889,              0.0005582,              0.0005582,              0.0005582
                     14,                0.98045,                 1.0555,                 1.2192,                0.88902,                0.33333,                0.69445,                0.48226,                 1.0241,                 2.3429,                 1.3985,             0.00059551,             0.00059551,             0.00059551
                     15,                  1.003,                 1.1102,                 1.2347,                0.98948,                0.40823,                0.74325,                0.49164,                 1.0819,                 2.1392,                 1.5144,             0.00063182,             0.00063182,             0.00063182
                     16,                0.97939,                 1.0546,                 1.2408,                0.98909,                0.39324,                0.80097,                 0.5634,                 1.0427,                  1.988,                 1.4909,             0.00066714,             0.00066714,             0.00066714
                     17,                0.92635,                 1.0486,                 1.1864,                0.97874,                0.39474,                0.74499,                0.51332,                 1.0945,                 2.1437,                 1.4831,             0.00070147,             0.00070147,             0.00070147
                     18,                0.94401,                 1.0247,                 1.1961,                 0.9895,                0.40912,                0.71983,                0.52664,                0.98284,                 2.0637,                 1.3379,             0.00073482,             0.00073482,             0.00073482
                     19,                0.93313,                 1.0258,                 1.2351,                0.97902,                0.41228,                0.72043,                0.53107,                 1.0142,                 1.9621,                 1.3391,             0.00076717,             0.00076717,             0.00076717
